Player,Comp,Age,Min,Gls,Ast,Pos,Tkl,Int,Clr,Blocks,Succ,Carries,KP,xG,xAG,Club
Assane Diao,es La Liga,18.0,277,1,2,FW,5,0,3,4,2,63,8,0.8,1.5,
Habib Diarra,fr Ligue 1,20.0,2352,4,5,"MF,FW",22,13,46,25,13,709,27,3.3,4.5,
Moussa Diarra,es La Liga,23.0,1866,0,0,DF,40,21,46,14,7,499,3,0.0,0.1,
Rúben Dias,eng Premier League,27.0,2271,0,0,DF,17,20,71,14,2,1775,5,1.5,0.3,
Krépin Diatta,fr Ligue 1,25.0,508,0,0,"DF,FW",18,9,12,5,8,205,4,0.2,0.8,
Kandet Diawara,fr Ligue 1,24.0,4,0,0,FW,0,0,1,0,0,2,0,0.0,0.0,
Mahamadou Diawara,fr Ligue 1,19.0,582,0,1,MF,20,13,11,11,6,180,7,0.4,0.4,
Mahamadou Diawara,fr Ligue 1,19.0,16,0,0,MF,1,0,0,0,0,2,0,0.0,0.0,
Brahim Díaz,es La Liga,24.0,1385,4,2,"FW,MF",25,4,2,13,24,541,23,5.3,3.3,
Daniel Díaz,es La Liga,18.0,10,0,0,MF,1,0,0,0,0,1,0,0.0,0.0,
Luis Díaz,eng Premier League,27.0,2399,13,5,FW,39,7,7,24,53,780,56,12.0,5.0,
Pedro Díaz,es La Liga,26.0,1211,3,0,MF,23,7,7,10,20,390,26,2.4,2.1,
Tyler Dibling,eng Premier League,18.0,1874,2,0,"FW,MF",34,8,16,17,45,558,20,2.5,1.5,
Diego,es La Liga,24.0,1195,3,0,FW,1,2,11,6,4,192,6,3.8,0.2,
Justin Diehl,de Bundesliga,19.0,104,1,0,"FW,DF",1,0,0,0,3,55,1,1.0,0.1,
Bamba Dieng,fr Ligue 1,24.0,532,3,0,FW,4,0,3,2,2,96,1,3.1,0.0,
Eric Dier,de Bundesliga,30.0,1463,2,1,DF,19,20,77,6,2,944,3,1.1,0.1,
Lucas Digne,eng Premier League,31.0,2351,0,4,DF,65,25,89,41,9,683,36,0.8,4.7,
Kembo Diliwidi,fr Ligue 1,18.0,4,0,0,DF,0,0,0,0,0,1,0,0.0,0.0,
Federico Dimarco,it Serie A,26.0,2140,4,7,"DF,FW",25,14,33,29,4,789,48,3.3,6.1,
Stole Dimitrievski,es La Liga,30.0,360,0,0,GK,0,0,3,0,0,68,0,0.0,0.0,
Junior Dina Ebimbe,de Bundesliga,23.0,293,0,1,"MF,FW",3,7,6,1,5,82,3,0.9,0.9,
Eren Dinkçi,de Bundesliga,22.0,1196,0,3,"MF,FW",21,7,7,17,16,269,23,1.1,2.2,
Sinaly Diomande,fr Ligue 1,23.0,1945,3,2,DF,39,30,100,10,8,698,4,1.1,0.6,
Yan Diomandé,es La Liga,17.0,545,2,1,"MF,FW",14,8,6,5,23,200,14,1.4,0.9,
Lois Diony,fr Ligue 1,31.0,21,0,0,FW,0,0,0,0,0,4,0,0.0,0.0,
Issa Diop,eng Premier League,27.0,1339,0,0,DF,26,9,72,2,1,533,3,0.5,0.1,
Sérigné Diop,fr Ligue 1,19.0,4,0,0,FW,1,0,0,0,0,1,0,0.0,0.0,
Sofiane Diop,fr Ligue 1,24.0,1064,6,4,"MF,FW",23,17,7,12,10,399,24,6.0,2.9,
Andy Diouf,fr Ligue 1,21.0,2225,1,2,MF,37,15,18,30,43,751,33,2.9,2.8,
Yehvann Diouf,fr Ligue 1,24.0,3060,0,0,GK,2,1,22,1,2,684,0,0.1,0.0,
Assane Dioussé,fr Ligue 1,26.0,663,0,0,MF,15,12,15,4,2,276,2,0.1,0.2,
Axel Disasi,eng Premier League,26.0,490,0,0,DF,8,5,18,5,9,207,3,0.1,0.4,
Axel Disasi,eng Premier League,26.0,364,1,0,DF,7,2,11,2,1,196,2,0.3,0.1,
Roman Dixon,eng Premier League,19.0,90,0,0,DF,5,1,3,0,0,16,0,0.0,0.0,
Álvaro djaló,es La Liga,24.0,659,1,0,FW,8,1,4,3,14,151,4,0.8,0.9,
Djené,es La Liga,32.0,2548,0,0,"DF,MF",25,21,107,8,7,514,9,0.3,0.6,
Nasser Djiga,eng Premier League,21.0,66,0,0,DF,0,2,4,2,0,32,0,0.0,0.0,
Berat Djimsiti,it Serie A,31.0,2640,1,2,DF,53,40,141,15,1,1097,11,2.7,1.3,
Marko Dmitrović,es La Liga,32.0,2880,0,0,GK,1,0,27,0,1,542,1,0.0,0.2,
Ritsu Doan,de Bundesliga,26.0,2862,10,7,"FW,MF",66,14,47,42,56,827,27,6.6,3.7,
Dodô,it Serie A,25.0,3025,0,4,DF,44,34,58,45,52,1278,36,1.4,4.2,
Danilho Doekhi,de Bundesliga,26.0,3060,1,1,DF,37,44,169,20,3,883,13,2.6,1.4,
Matt Doherty,eng Premier League,32.0,2109,2,1,DF,38,22,102,14,11,825,12,1.0,1.5,
Jeremy Doku,eng Premier League,22.0,1516,3,6,"FW,MF",31,4,2,30,107,796,32,1.3,4.8,
Marc Domenech,es La Liga,18.0,303,0,0,"FW,MF",4,0,2,1,1,42,5,0.7,0.2,
Álex Domínguez,fr Ligue 1,26.0,19,0,0,GK,0,0,0,0,0,3,0,0.0,0.0,
Benjamín Domínguez,it Serie A,20.0,1281,3,2,FW,18,4,7,17,28,396,10,2.2,0.8,
Carlos Dominguez,es La Liga,23.0,1181,0,0,DF,23,13,80,5,2,683,2,0.2,0.1,
Israel Domínguez,es La Liga,21.0,18,0,0,FW,0,0,0,0,0,1,0,0.0,0.0,
Nicolás Domínguez,eng Premier League,26.0,1963,0,1,"MF,FW",86,29,54,11,3,471,13,1.5,1.3,
Sergi Dominguez,es La Liga,19.0,172,0,0,DF,1,3,7,0,0,127,0,0.0,0.0,
Gianluigi Donnarumma,fr Ligue 1,25.0,2091,0,0,GK,1,0,14,0,0,349,0,0.0,0.0,
Patrick Dorgu,eng Premier League,19.0,842,0,0,DF,31,4,23,8,3,354,12,0.4,0.7,
Patrick Dorgu,it Serie A,19.0,1840,3,1,"DF,FW",45,18,42,24,13,557,19,3.3,1.5,
Alfie Dorrington,eng Premier League,19.0,14,0,0,DF,0,0,0,0,0,12,0,0.0,0.0,
Niklas Dorsch,de Bundesliga,26.0,32,0,0,MF,0,0,0,1,0,15,0,0.0,0.0,
Niklas Dorsch,de Bundesliga,26.0,1335,2,2,MF,27,17,17,3,7,459,13,1.0,1.1,
Alberto Dossena,it Serie A,25.0,1825,0,2,DF,33,22,89,8,4,693,5,0.8,0.7,
Abdoulaye Doucouré,eng Premier League,31.0,2564,3,2,MF,48,10,20,27,24,604,28,4.1,2.4,
Cheick Doucouré,eng Premier League,24.0,452,0,0,MF,16,11,10,4,2,133,1,0.4,0.0,
Sékou Doucoure,fr Ligue 1,19.0,12,0,0,DF,0,0,3,0,0,5,0,0.0,0.0,
Désiré Doué,fr Ligue 1,19.0,1730,6,6,"FW,MF",48,13,7,21,57,899,55,5.1,7.8,
Guela Doué,fr Ligue 1,21.0,2717,1,2,DF,65,34,154,26,27,1184,11,0.8,0.7,
Douglas,fr Ligue 1,27.0,2307,4,2,MF,69,32,47,17,12,715,15,3.4,1.5,
Ismaël Doukouré,fr Ligue 1,21.0,2639,1,1,"DF,MF",40,25,102,13,13,1149,11,0.6,1.1,
Issa Doumbia,it Serie A,20.0,939,0,0,MF,14,9,14,7,11,219,3,1.0,0.1,
Kamory Doumbia,fr Ligue 1,21.0,1322,3,2,"MF,FW",41,28,13,10,19,467,26,2.7,1.2,
Amidou Doumbouya,fr Ligue 1,16.0,46,0,0,DF,1,1,1,2,1,17,0,0.0,0.0,
Anastasios Douvikas,it Serie A,24.0,580,2,2,FW,3,1,3,4,5,113,9,2.5,1.1,
Anastasios Douvikas,es La Liga,24.0,700,3,1,FW,9,3,6,6,4,120,3,4.4,0.2,
Artem Dovbyk,it Serie A,27.0,2418,12,2,FW,4,2,12,11,7,355,25,11.9,2.4,
Flynn Downes,eng Premier League,25.0,2151,1,0,MF,49,32,51,13,8,641,15,0.6,1.1,
Tommy Doyle,eng Premier League,22.0,488,0,1,MF,11,5,11,8,5,260,7,0.6,0.5,
Radu Drăgușin,eng Premier League,22.0,1252,0,0,DF,10,15,49,5,0,623,4,0.1,0.4,
Patrick Drewes,de Bundesliga,31.0,1890,0,0,GK,0,0,11,1,0,479,0,0.0,0.0,
Tim Drexler,de Bundesliga,19.0,357,0,0,DF,17,1,9,3,0,128,1,0.1,0.0,
Domingos Duarte,es La Liga,29.0,1859,1,0,DF,28,18,152,1,0,373,2,0.2,0.1,
Martin Dúbravka,eng Premier League,35.0,900,0,0,GK,0,0,3,0,0,202,0,0.0,0.0,
Marvin Ducksch,de Bundesliga,30.0,2418,8,8,FW,10,8,26,24,7,538,61,10.1,8.5,
Ondrej Duda,it Serie A,29.0,2395,1,3,MF,46,31,30,13,25,711,32,1.0,3.2,
Duk,es La Liga,24.0,179,0,0,"MF,FW",8,1,2,5,10,64,5,0.0,0.7,
Denzel Dumfries,it Serie A,28.0,1865,7,2,"DF,FW",25,6,26,27,13,534,21,5.4,3.2,
Alfred Duncan,it Serie A,31.0,957,0,0,MF,17,8,8,7,13,311,11,0.8,1.1,
Lewis Dunk,eng Premier League,32.0,2083,0,0,DF,17,13,79,7,0,1341,6,0.8,0.5,
Jáder Durán,eng Premier League,20.0,638,7,0,FW,8,0,13,4,3,133,4,4.9,0.2,
Pablo Durán,es La Liga,23.0,1394,4,4,"FW,MF",17,8,18,19,12,338,17,3.6,2.8,
Julien Duranville,de Bundesliga,18.0,283,0,0,"FW,MF",3,0,3,2,12,102,1,0.2,0.3,
Hugo Duro,es La Liga,24.0,2166,11,2,FW,13,10,11,15,7,297,14,9.4,1.3,
Jean-Kevin Duverne,fr Ligue 1,27.0,537,0,0,DF,21,8,23,5,2,161,1,0.3,0.1,
Paulo Dybala,it Serie A,30.0,1417,6,3,"FW,MF",17,2,2,16,11,595,40,6.4,5.0,
Stefan Džodić,fr Ligue 1,19.0,242,0,0,"DF,MF",8,5,10,0,0,127,0,0.1,0.0,
Adam Dźwigała,de Bundesliga,28.0,373,0,0,"DF,MF",20,4,28,5,1,110,0,0.4,0.0,
Aron Dønnum,fr Ligue 1,26.0,2689,2,2,"DF,MF",56,28,37,42,47,862,45,2.1,4.6,
Enzo Ebosse,it Serie A,25.0,90,0,0,DF,0,1,1,0,1,34,1,0.0,0.0,
Tyronne Ebuehi,it Serie A,28.0,74,0,0,"DF,MF",3,2,0,0,1,20,0,0.0,0.0,
Claudio Echeverri,eng Premier League,18.0,6,0,0,FW,1,0,0,0,0,3,0,0.0,0.0,
Ederson,eng Premier League,30.0,2320,0,4,GK,0,1,11,1,0,654,4,0.0,1.5,
Éderson,it Serie A,25.0,2881,4,1,MF,52,35,36,28,23,1490,37,4.1,4.3,
Noah Edjouma,fr Ligue 1,18.0,171,2,0,"MF,FW",2,2,2,3,4,62,1,1.3,0.1,
George Edmundson,eng Premier League,26.0,2,0,0,DF,0,0,0,1,0,1,0,0.0,0.0,
Odsonne Édouard,eng Premier League,26.0,115,0,0,"MF,FW",1,0,1,2,0,24,1,0.4,0.0,
Odsonne Édouard,eng Premier League,26.0,29,0,0,FW,1,0,1,1,1,11,1,0.0,0.0,
Samuel Edozie,eng Premier League,21.0,65,0,0,"DF,FW",3,0,0,2,2,34,1,0.0,0.1,
Ronnie Edwards,eng Premier League,21.0,12,0,0,DF,0,0,0,0,0,3,0,0.0,0.0,
Johannes Eggestein,de Bundesliga,26.0,1853,3,4,FW,5,0,8,28,7,384,24,4.7,2.1,
Maximilian Eggestein,de Bundesliga,27.0,2845,2,0,MF,57,39,54,32,11,813,19,2.0,1.5,
Kingsley Ehizibue,it Serie A,29.0,2498,0,1,DF,55,23,70,22,12,576,22,1.2,2.2,
Chidera Ejuke,es La Liga,26.0,966,2,1,FW,19,5,8,17,47,416,21,1.1,1.9,
Jeff Ekhator,it Serie A,17.0,769,1,1,"FW,MF",7,2,5,6,4,130,11,1.3,1.0,
Hugo Ekitike,de Bundesliga,22.0,2563,15,8,FW,16,7,24,23,52,633,44,21.6,6.8,
Jurgen Ekkelenkamp,it Serie A,24.0,1892,3,2,MF,36,12,26,17,10,457,15,2.8,1.3,
Jacques Ekomie,fr Ligue 1,20.0,697,0,0,"DF,FW",22,4,14,14,4,135,0,0.0,0.0,
Emmanuel Ekong,it Serie A,22.0,186,0,0,"MF,FW",4,1,1,2,7,50,2,0.1,0.1,
Caleb Ekuban,it Serie A,30.0,555,1,3,FW,3,1,6,4,3,97,8,2.8,0.8,
Pierre Ekwah Elimby,fr Ligue 1,22.0,2575,1,0,MF,54,47,72,16,18,907,16,0.7,1.0,
Anthony Elanga,eng Premier League,22.0,2501,6,11,"FW,MF",19,6,25,24,25,600,50,4.5,5.7,
Meschak Elia,fr Ligue 1,26.0,170,1,0,FW,7,0,2,3,2,61,3,1.1,0.2,
Mikael Ellertsson,it Serie A,22.0,2470,2,2,"DF,MF",58,17,79,20,16,460,20,1.1,1.6,
Harvey Elliott,eng Premier League,21.0,371,1,2,MF,5,1,3,4,4,188,10,1.8,1.1,
Elif Elmas,it Serie A,24.0,1021,4,0,"FW,MF",10,6,5,4,13,303,9,1.4,0.4,
Elif Elmas,de Bundesliga,24.0,44,0,0,MF,3,0,2,1,1,13,0,0.3,0.0,
Aritz Elustondo,es La Liga,30.0,1457,0,0,DF,20,11,96,9,3,624,4,0.4,0.2,
Nico Elvedi,de Bundesliga,27.0,2135,1,1,DF,38,30,163,9,0,953,5,2.0,0.4,
Adri Embarba,es La Liga,32.0,1607,1,1,"FW,MF",41,13,14,27,20,467,20,2.1,2.7,
Breel Embolo,fr Ligue 1,27.0,1841,6,4,"FW,MF",22,3,10,9,14,397,32,10.8,5.6,
Emanuel Emegha,fr Ligue 1,21.0,2293,14,3,FW,6,1,30,7,7,341,18,17.0,2.4,
Emerson,it Serie A,25.0,1377,0,0,DF,45,14,56,23,7,584,15,0.4,0.7,
Yunus Emre Konak,eng Premier League,18.0,42,0,0,"FW,MF",4,0,0,1,0,17,0,0.2,0.0,
Julio Enciso,eng Premier League,20.0,869,2,3,"MF,FW",12,1,6,11,30,205,13,1.7,1.4,
Julio Enciso,eng Premier League,20.0,294,0,0,"MF,FW",0,0,1,5,10,114,5,1.0,0.2,
Wataru Endo,eng Premier League,31.0,273,0,0,"MF,DF",12,6,9,2,2,110,2,0.0,0.1,
Endrick,es La Liga,18.0,363,1,0,FW,1,4,1,0,4,83,4,2.5,0.5,
Yannik Engelhardt,it Serie A,23.0,1164,1,1,"MF,DF",30,11,27,11,9,525,12,0.6,1.5,
Arne Engels,de Bundesliga,20.0,79,0,0,"MF,FW",0,0,0,1,0,17,0,0.4,0.0,
Christian Eriksen,eng Premier League,32.0,1061,1,2,MF,19,7,8,6,0,473,31,1.4,3.2,
Martin Erlic,it Serie A,26.0,334,0,0,DF,2,2,9,0,0,179,0,0.2,0.0,
Patrick Erras,de Bundesliga,29.0,832,1,0,DF,8,9,64,3,0,282,3,0.9,0.1,
Alfonso Espino,es La Liga,32.0,833,0,1,DF,41,12,32,12,5,307,5,0.4,0.6,
Sebastiano Esposito,it Serie A,22.0,2331,8,0,"FW,MF",57,12,14,41,29,565,36,5.7,2.1,
Romain Esse,eng Premier League,19.0,138,1,1,MF,9,1,2,1,2,38,3,0.3,0.4,
Samuel Essende,de Bundesliga,26.0,1636,7,2,FW,7,0,11,12,14,347,11,4.2,1.3,
Dario Essugo,es La Liga,19.0,1938,1,0,MF,59,42,47,7,12,582,13,0.7,0.4,
Estanis,it Serie A,20.0,9,0,0,FW,0,0,0,1,2,5,2,0.1,0.2,
Nahuel Estévez,it Serie A,28.0,657,0,0,MF,16,3,26,8,3,148,6,0.1,0.8,
Pervis Estupiñán,eng Premier League,26.0,2402,1,1,DF,65,37,65,28,19,1023,26,1.2,2.1,
Etienne Eto'o,es La Liga,21.0,40,0,0,FW,0,0,1,0,0,4,0,0.0,0.0,
Karl Etta,es La Liga,20.0,37,1,0,"MF,FW",0,0,0,0,0,5,0,0.4,0.0,
Evanilson,eng Premier League,24.0,2319,10,1,FW,16,1,21,11,7,333,26,12.5,1.9,
Jake Evans,eng Premier League,,24,0,0,FW,1,0,1,0,0,1,0,0.0,0.0,
Jonny Evans,eng Premier League,36.0,315,0,0,DF,8,5,15,1,1,143,0,0.1,0.0,
Edu Expósito,es La Liga,27.0,1045,0,2,MF,23,15,21,8,15,340,28,1.0,3.2,
Eberechi Eze,eng Premier League,26.0,2588,8,8,"MF,FW",39,11,10,17,67,840,58,10.5,6.2,
Abde Ezzalzouli,es La Liga,22.0,1984,2,2,"FW,MF",37,7,19,27,46,706,27,8.0,2.0,
Giovanni Fabbian,it Serie A,21.0,1023,3,1,MF,10,2,4,9,2,198,9,2.3,1.3,
Łukasz Fabiański,eng Premier League,39.0,1160,0,0,GK,0,0,5,0,3,285,0,0.0,0.0,
Alieu Fadera,it Serie A,22.0,1644,1,3,"FW,DF",64,12,10,28,26,544,23,1.7,4.0,
Wout Faes,eng Premier League,26.0,2815,1,0,DF,42,26,185,7,5,1107,4,1.5,0.1,
Nicolò Fagioli,it Serie A,23.0,962,1,2,MF,19,5,12,10,10,480,23,0.5,3.0,
Nicolò Fagioli,it Serie A,23.0,571,0,0,MF,14,2,5,3,2,311,4,0.6,0.1,
Romain Faivre,fr Ligue 1,26.0,899,3,2,"MF,FW",13,4,3,8,17,310,10,2.6,1.9,
Wladimiro Falcone,it Serie A,29.0,3420,0,0,GK,0,0,29,0,0,727,0,0.0,0.0,
Davide Faraoni,it Serie A,32.0,260,0,0,DF,10,2,12,2,0,55,2,0.2,0.1,
Abdul Fatawu Issahaku,eng Premier League,20.0,579,0,2,FW,21,4,12,18,29,217,6,0.4,1.6,
Ansu Fati,es La Liga,21.0,233,0,0,FW,4,1,0,3,5,107,4,1.0,0.2,
Khalil Fayad,fr Ligue 1,20.0,1028,0,0,"MF,FW",31,10,15,12,17,340,7,1.3,0.3,
Jacopo Fazzini,it Serie A,21.0,1383,4,1,MF,32,6,24,19,23,364,12,3.1,0.5,
Nabil Fekir,es La Liga,31.0,180,0,1,MF,3,0,0,4,0,72,6,0.7,0.6,
Mattia Felici,it Serie A,23.0,925,0,3,"MF,FW",17,7,7,14,19,259,10,0.6,1.0,
Luiz Felipe,fr Ligue 1,27.0,122,0,0,DF,4,3,5,1,1,47,0,0.0,0.0,
João Félix,eng Premier League,24.0,369,1,1,"FW,MF",8,3,2,5,10,193,6,2.2,1.0,
João Félix,it Serie A,24.0,760,2,0,MF,6,1,9,9,15,275,10,2.7,1.2,
Frank Feller,de Bundesliga,20.0,121,0,0,GK,0,0,1,0,0,34,0,0.0,0.0,
Kiko Femenía,es La Liga,33.0,2227,0,1,DF,50,40,62,14,17,902,16,0.4,1.3,
Evan Ferguson,eng Premier League,19.0,156,0,0,FW,3,1,1,0,3,31,2,0.6,0.3,
Evan Ferguson,eng Premier League,19.0,246,1,0,FW,4,0,4,1,1,42,3,0.5,0.4,
Lewis Ferguson,it Serie A,24.0,983,1,1,MF,24,5,9,8,5,471,14,1.0,1.1,
Zinedine Ferhat,fr Ligue 1,31.0,849,2,0,"FW,MF",9,10,12,9,10,292,17,1.4,2.4,
Bruno Fernandes,eng Premier League,29.0,3018,8,10,MF,84,26,35,55,28,1542,91,9.9,8.5,
Edimilson Fernandes,fr Ligue 1,28.0,1105,0,1,"MF,DF",9,20,38,5,3,399,8,0.4,0.6,
Mateus Fernandes,eng Premier League,20.0,2909,2,4,MF,89,28,35,36,49,897,34,4.0,3.0,
Aitor Fernández,es La Liga,33.0,90,0,0,GK,0,0,2,0,0,27,0,0.0,0.0,
Álvaro Fernández,es La Liga,26.0,747,0,0,GK,0,0,7,0,0,187,1,0.0,0.1,
Enzo Fernández,eng Premier League,23.0,2947,6,7,MF,65,13,23,46,26,1211,77,6.1,6.8,
Pelayo Fernandez,es La Liga,21.0,98,0,0,DF,0,2,9,0,0,16,0,0.0,0.0,
Roberto Férnandez,es La Liga,22.0,1497,6,0,FW,4,3,26,12,11,227,8,3.6,0.6,
Valery Fernández,es La Liga,24.0,309,2,0,"MF,FW",8,0,1,1,1,75,1,0.8,0.0,
Matias Fernandez-Pardo,fr Ligue 1,19.0,1065,4,2,"FW,MF",12,3,6,13,20,285,16,2.9,2.8,
André Ferreira,es La Liga,28.0,540,0,0,GK,0,0,4,0,0,83,0,0.0,0.0,
Jordan Ferri,fr Ligue 1,32.0,1773,0,2,MF,42,9,20,10,9,802,13,0.4,0.9,
Daniel Fila,it Serie A,21.0,492,2,0,FW,2,0,5,2,2,82,6,1.4,0.3,
Karol Fila,fr Ligue 1,26.0,5,0,0,MF,0,0,0,1,0,1,0,0.0,0.0,
Kilian Fischer,de Bundesliga,23.0,2297,1,0,DF,64,19,98,27,10,704,12,0.3,0.5,
Mark Flekken,eng Premier League,31.0,3275,0,2,GK,4,0,26,0,1,1122,3,0.0,0.5,
Alessandro Florenzi,it Serie A,33.0,5,0,0,FW,0,0,0,0,0,4,0,0.0,0.0,
Mateo Flores,es La Liga,20.0,153,0,0,MF,3,2,3,2,0,47,0,0.0,0.0,
Phil Foden,eng Premier League,24.0,1777,7,2,"MF,FW",13,9,7,26,14,722,43,5.2,4.8,
Malick Fofana,fr Ligue 1,19.0,1589,5,4,FW,22,8,6,32,24,587,25,3.8,3.7,
Rayan Fofana,fr Ligue 1,18.0,25,0,0,"FW,MF",2,0,0,1,0,7,0,0.0,0.0,
Seko Fofana,fr Ligue 1,29.0,844,1,1,MF,11,7,7,5,12,394,13,1.8,1.2,
Wesley Fofana,eng Premier League,23.0,1172,0,0,DF,13,14,55,4,8,557,6,0.4,0.4,
Yahia Fofana,fr Ligue 1,23.0,2970,0,0,GK,0,1,25,0,2,555,1,0.0,0.1,
Youssouf Fofana,it Serie A,25.0,2504,1,6,MF,56,19,24,7,14,986,23,1.3,3.4,
Jonas Föhrenbach,de Bundesliga,28.0,1832,0,1,DF,45,16,57,37,7,521,14,0.3,1.3,
Michael Folorunsho,it Serie A,26.0,650,0,0,"FW,MF",19,4,10,11,9,190,3,1.1,0.6,
Michael Folorunsho,it Serie A,26.0,35,0,0,"FW,MF",3,1,1,0,0,6,0,0.1,0.0,
Lamine Fomba,fr Ligue 1,26.0,217,0,0,MF,8,4,5,4,2,114,1,0.0,0.3,
Carlos Forbs,eng Premier League,20.0,239,0,0,"MF,FW",8,1,2,9,7,75,1,0.1,0.0,
Pablo Fornals,es La Liga,28.0,1827,2,0,"MF,FW",21,23,15,26,8,777,36,1.8,3.3,
Omari Forson,it Serie A,20.0,223,0,0,"MF,FW",3,1,1,6,6,103,8,0.2,0.5,
Fraser Forster,eng Premier League,36.0,630,0,0,GK,0,0,7,0,1,113,0,0.0,0.0,
Héctor Fort,es La Liga,17.0,585,0,0,DF,13,6,16,12,2,308,10,0.2,0.9,
Dimitri Foulquier,es La Liga,31.0,2299,0,1,DF,48,16,86,43,8,749,10,0.4,1.4,
Juan Foyth,es La Liga,26.0,1517,1,0,DF,25,19,119,8,4,607,7,2.4,0.3,
Fran,es La Liga,19.0,90,0,0,GK,0,0,2,0,0,12,0,0.0,0.0,
Matheus França,eng Premier League,20.0,55,1,0,"MF,FW",2,1,1,1,0,20,0,0.3,0.0,
Alejandro Francés,es La Liga,21.0,1173,0,0,DF,36,17,52,21,7,496,4,0.2,0.3,
Przemysław Frankowski,fr Ligue 1,29.0,1387,4,2,DF,32,19,28,31,6,637,20,2.3,2.5,
Enric Franquesa,es La Liga,27.0,616,1,0,"DF,FW",17,5,12,9,9,133,2,0.3,0.1,
Ryan Fraser,eng Premier League,30.0,306,0,0,"FW,DF",6,1,9,2,2,74,2,0.0,0.1,
Davide Frattesi,it Serie A,24.0,1158,5,1,MF,17,5,14,10,7,296,7,4.0,0.8,
Tyler Fredricson,eng Premier League,19.0,165,0,0,DF,5,1,11,2,1,86,0,0.0,0.0,
Morten Frendrup,it Serie A,23.0,3103,2,0,MF,102,47,57,23,10,737,14,1.6,0.9,
Martin Frese,it Serie A,26.0,549,0,0,DF,18,8,16,3,0,153,5,0.1,0.2,
Remo Freuler,it Serie A,32.0,3204,1,2,MF,79,38,57,16,5,1216,36,1.3,1.5,
Marco Friedl,de Bundesliga,26.0,2161,0,0,DF,62,34,130,6,6,1069,3,0.5,0.2,
Marvin Friedrich,de Bundesliga,28.0,989,0,1,DF,15,5,57,6,2,502,3,0.4,0.6,
Jeremie Frimpong,de Bundesliga,23.0,2314,5,5,"DF,MF",33,8,22,29,25,673,30,4.1,4.2,
Jorge de Frutos,es La Liga,27.0,2495,6,3,"FW,MF",37,19,24,44,32,605,31,6.3,3.4,
Darío Fuentes,es La Liga,21.0,5,0,0,DF,0,0,0,0,0,0,0,0.0,0.0,
Chris Führich,de Bundesliga,26.0,1981,2,3,"MF,FW",15,6,19,20,40,782,32,2.9,3.7,
Shiō Fukuda,de Bundesliga,20.0,60,1,0,FW,0,0,0,2,1,8,0,0.4,0.0,
Angelo Fulgini,fr Ligue 1,27.0,1045,1,1,"MF,FW",14,2,3,15,11,494,28,2.4,3.8,
Niclas Füllkrug,eng Premier League,31.0,790,3,2,FW,4,1,16,7,1,123,14,2.2,1.9,
Kyogo Furuhashi,fr Ligue 1,29.0,123,0,0,FW,2,0,0,1,0,10,0,0.1,0.0,
Manuel Fuster,es La Liga,26.0,1003,2,1,"FW,MF",19,4,17,17,5,410,28,0.7,1.8,
Matteo Gabbia,it Serie A,24.0,2152,2,0,DF,21,15,103,6,1,1023,2,1.1,0.2,
Tommaso Gabellini,it Serie A,17.0,10,0,0,FW,0,0,0,0,0,4,0,0.1,0.0,
Tiago Gabriel,it Serie A,19.0,96,0,0,DF,0,0,11,2,0,31,0,0.0,0.0,
Alessandro Gabrielloni,it Serie A,30.0,142,1,1,"FW,MF",0,0,1,4,0,43,4,0.3,0.8,
Gianluca Gaetano,it Serie A,24.0,1009,2,4,"MF,FW",11,6,8,11,14,297,22,4.9,2.2,
Roberto Gagliardini,it Serie A,30.0,180,0,0,"MF,DF",3,2,4,2,1,101,1,0.0,0.2,
Cody Gakpo,eng Premier League,25.0,1935,10,4,FW,28,12,19,10,31,605,38,7.1,4.4,
Javi Galán,es La Liga,29.0,1784,0,3,DF,51,12,47,24,28,739,15,0.2,3.9,
Iñigo Ruiz de Galarreta,es La Liga,30.0,1477,0,4,MF,36,16,14,18,16,524,28,0.5,2.9,
Conor Gallagher,es La Liga,24.0,1633,3,3,MF,45,20,23,18,17,674,12,2.8,1.2,
Antonino Gallo,it Serie A,24.0,2609,0,2,DF,65,20,133,32,13,662,44,0.3,2.7,
Gauthier Gallon,fr Ligue 1,31.0,45,0,0,GK,0,0,0,0,0,12,0,0.0,0.0,
Cristian Gamboa,de Bundesliga,34.0,226,1,0,DF,8,2,8,3,0,84,3,0.2,0.2,
Idrissa Gana Gueye,eng Premier League,34.0,3063,0,3,MF,133,48,36,22,18,861,19,1.1,1.7,
Ignatius Ganago,fr Ligue 1,25.0,241,0,0,"FW,MF",1,4,2,1,5,73,5,0.4,0.3,
Silvère Ganvoula M'Boussy,it Serie A,28.0,326,0,0,FW,0,1,5,4,2,73,1,0.4,0.2,
Facundo Garcés,es La Liga,24.0,678,0,0,DF,6,5,51,2,0,114,3,0.1,0.8,
Aleix García,de Bundesliga,27.0,1455,3,4,MF,13,11,24,16,4,787,32,1.0,4.9,
Álvaro García,es La Liga,31.0,2559,4,5,"FW,MF",33,32,42,43,10,644,50,7.6,5.0,
Andrés García,eng Premier League,21.0,318,0,0,"DF,MF",9,2,10,5,5,159,3,0.0,0.2,
Eric García,es La Liga,23.0,1566,2,3,"DF,MF",38,14,41,12,5,852,7,2.3,0.8,
Fran Garcia,es La Liga,24.0,2171,0,2,DF,51,28,67,38,8,1001,24,0.9,1.8,
